timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1658568171838,6859,Homepage,200,OK,HomePAge 1-17,text,true,,359690,236,20,20,https://www.flipkart.com/,151,0,72
1658568171838,151,Homepage-0,301,Moved Permanently,HomePAge 1-17,text,true,,347,118,20,20,http://www.flipkart.com/,151,0,72
1658568171990,6707,Homepage-1,200,OK,HomePAge 1-17,text,true,,359343,118,20,20,https://www.flipkart.com/,1175,0,561
1658568171234,8344,Homepage,200,OK,HomePAge 1-5,text,true,,359852,236,20,20,https://www.flipkart.com/,263,0,144
1658568171234,267,Homepage-0,301,Moved Permanently,HomePAge 1-5,text,true,,347,118,20,20,http://www.flipkart.com/,263,0,144
1658568171504,8074,Homepage-1,200,OK,HomePAge 1-5,text,true,,359505,118,20,20,https://www.flipkart.com/,1652,0,1113
1658568171803,9147,Homepage,200,OK,HomePAge 1-16,text,true,,366016,236,20,20,https://www.flipkart.com/,179,0,95
1658568171803,180,Homepage-0,301,Moved Permanently,HomePAge 1-16,text,true,,347,118,20,20,http://www.flipkart.com/,179,0,95
1658568171984,8966,Homepage-1,200,OK,HomePAge 1-16,text,true,,365669,118,20,20,https://www.flipkart.com/,1116,0,567
1658568178700,2364,Cart,200,OK,HomePAge 1-17,text,true,,110741,326,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1591,0,0
1658568178700,1591,Cart-0,301,Moved Permanently,HomePAge 1-17,text,true,,392,163,20,20,http://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1591,0,0
1658568180292,772,Cart-1,200,OK,HomePAge 1-17,text,true,,110349,163,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,532,0,0
1658568171533,9584,Homepage,200,OK,HomePAge 1-11,text,true,,365931,236,20,20,https://www.flipkart.com/,204,0,105
1658568171533,204,Homepage-0,301,Moved Permanently,HomePAge 1-11,text,true,,347,118,20,20,http://www.flipkart.com/,204,0,105
1658568171738,9379,Homepage-1,200,OK,HomePAge 1-11,text,true,,365584,118,20,20,https://www.flipkart.com/,1573,0,921
